dacpac	sp_name	regex_sources	regex_targets	regex_exec	edge_count
classic	DBO.uspGetBillOfMaterials	[production].[billofmaterials],[production].[product]	-	-	2
classic	DBO.uspGetEmployeeManagers	[humanresources].[employee],[organizationnode].[getancestor],[organizationnode].[tostring],[person].[person]	-	-	2
classic	DBO.uspGetManagerEmployees	[humanresources].[employee],[organizationnode].[getancestor],[organizationnode].[tostring],[person].[person]	-	-	2
classic	DBO.uspGetWhereUsedProductID	[production].[billofmaterials],[production].[product]	-	-	2
classic	DBO.uspLogError	-	[dbo].[errorlog]	[dbo].[uspprinterror]	5
classic	DBO.uspPrintError	-	-	-	1
classic	DBO.uspSearchCandidateResumes	[humanresources].[jobcandidate]	-	-	1
classic	HUMANRESOURCES.uspUpdateEmployeeHireInfo	-	[humanresources].[employee],[humanresources].[employeepayhistory]	[dbo].[usplogerror]	3
classic	HUMANRESOURCES.uspUpdateEmployeeLogin	-	[humanresources].[employee]	[dbo].[usplogerror]	2
classic	HUMANRESOURCES.uspUpdateEmployeePersonalInfo	-	[humanresources].[employee]	[dbo].[usplogerror]	2
sdk-style	CORE.sp_build_budget	[core].[fn_calc_variance],[staging].[stg_budget]	[staging].[stg_budget]	-	3
sdk-style	CORE.sp_build_employee	[core].[fn_calc_tenure],[staging].[stg_employee],[staging].[stg_pay_history]	[core].[int_employee]	-	4
sdk-style	CORE.sp_build_product	[staging].[stg_inventory],[staging].[stg_product]	[core].[int_product]	-	3
sdk-style	CORE.sp_build_sales_order	[core].[fn_calc_margin],[staging].[stg_order_detail],[staging].[stg_order_header],[staging].[stg_product]	[core].[int_sales_order]	-	5
sdk-style	LEGACY.sp_backup_monthly	-	-	-	0
sdk-style	LEGACY.sp_export_to_file	-	[legacy].[tmp_export_buffer]	-	1
sdk-style	MART_SALES.sp_load_dim_customer	[staging].[stg_customer]	[mart_sales].[dim_customer]	-	2
sdk-style	MART_SALES.sp_load_dim_date	[core].[int_sales_order]	[mart_sales].[dim_date]	-	2
sdk-style	MART_SALES.sp_load_dim_product	[core].[int_product]	[mart_sales].[dim_product]	-	2
sdk-style	MART_SALES.sp_load_dim_territory	[src_sales].[tbl_territory]	[mart_sales].[dim_territory]	-	2
sdk-style	MART_SALES.sp_load_fact_sales	[core].[int_sales_order],[mart_sales].[dim_customer],[mart_sales].[dim_territory]	[mart_sales].[fact_sales]	-	4
sdk-style	MART_SALES.sp_load_fact_sales_bak	-	-	-	0
sdk-style	STAGING.sp_load_budget	-	-	-	1
sdk-style	STAGING.sp_load_customer	-	-	-	1
sdk-style	STAGING.sp_load_employee	[src_hr].[tbl_employee]	[staging].[stg_employee]	-	2
sdk-style	STAGING.sp_load_inventory	-	-	-	1
sdk-style	STAGING.sp_load_market_data	-	-	-	1
sdk-style	STAGING.sp_load_order_detail	-	-	-	1
sdk-style	STAGING.sp_load_order_header	-	-	-	1
sdk-style	STAGING.sp_load_pay_history	[src_hr].[tbl_pay_history]	[staging].[stg_pay_history]	-	2
sdk-style	STAGING.sp_load_product	-	-	-	1
customer	ADMIN.sp_GetReadyHistoricalSnapshotRunDetail	[admin].[historicalsnapshot],[admin].[historicalsnapshotrun],[admin].[historicalsnapshotrundetail]	-	-	3
customer	ADMIN.sp_GetRunningHistoricalSnapshotRun	[admin].[historicalsnapshot],[admin].[historicalsnapshotrun]	-	-	2
customer	ADMIN.sp_LoadControlConsolidateDataLakeBySource	[admin].[controlconsolidatedatalakebysource],[admin].[controlconsolidatedatalakebysourcestaging]	[admin].[controlconsolidatedatalakebysource],[admin].[historicalsnapshotserialization]	-	4
customer	ADMIN.sp_Pipeline_Audit	-	[admin].[pipeline_audit]	-	1
customer	ADMIN.sp_SetHistoricalSnapshotRunCompleted	[admin].[historicalsnapshotruntrigger]	[admin].[historicalsnapshotrun],[admin].[historicalsnapshotruntrigger]	[dbo].[logmessage],[dbo].[splastrowcount]	5
customer	ADMIN.sp_SetHistoricalSnapshotRunDetailCompleted	-	[admin].[historicalsnapshotrundetail]	-	1
customer	ADMIN.sp_SetHistoricalSnapshotRunDetailRunning	-	[admin].[historicalsnapshotrundetail]	-	1
customer	ADMIN.sp_SetHistoricalSnapshotRunTrigger	[admin].[historicalsnapshotruntrigger]	[admin].[historicalsnapshotruntrigger],[admin].[historicalsnapshotserialization]	[dbo].[logmessage]	5
customer	ADMIN.sp_SetUpControlsHistoricalSnapshotRun	[admin].[historicalsnapshot],[admin].[historicalsnapshotruntrigger]	[admin].[historicalsnapshotruntrigger]	[admin].[sp_setupcontrolshistoricalsnapshotruninserts],[dbo].[logmessage]	5
customer	ADMIN.sp_SetUpControlsHistoricalSnapshotRunInserts	[admin].[historicalsnapshot],[admin].[historicalsnapshotdetail],[admin].[historicalsnapshotrun],[admin].[historicalsnapshotrundetail]	[admin].[historicalsnapshotrun],[admin].[historicalsnapshotrundetail],[admin].[historicalsnapshotserialization]	[dbo].[logmessage]	9
customer	ADMIN.UpdateWatermarkColumnValue_odl	-	[admin].[maincontroltable_odl]	-	0
customer	ADMIN.UpdateWatermarkColumnValue_sv1	-	[admin].[etl_dwh01]	-	0
customer	CONSUMPTION_BUSINESSDEVELOPMENT.spLoadConsumption_BUSINESSDEVELOPMENT	-	-	[consumption_businessdevelopment].[sploaddashboard_invoices],[consumption_businessdevelopment].[sploaddashboard_servicefeevalue],[dbo].[logmessage]	3
customer	CONSUMPTION_BUSINESSDEVELOPMENT.spLoadDashboard_Invoices	[consumption_businessdevelopment].[dashboard_invoices],[consumption_finance].[aranalyticsdetailmetrics],[consumption_prima].[projects]	[consumption_businessdevelopment].[dashboard_invoices]	[dbo].[logmessage],[dbo].[splastrowcount]	6
customer	CONSUMPTION_BUSINESSDEVELOPMENT.spLoadDashboard_ServiceFeeValue	[consumption_businessdevelopment].[dashboard_servicefeevalue],[consumption_prima].[projects],[staging_cadence].[cadenceextract]	[consumption_businessdevelopment].[dashboard_servicefeevalue]	[dbo].[logmessage],[dbo].[splastrowcount]	5
customer	CONSUMPTION_CLINOPSFINANCE.spLoadCadenceBudget_Aggregations	[consumption_clinopsfinance].[cadencebudget_laborcost_primacontractutilization_junc],[consumption_clinopsfinance].[cadencebudgetdata_post],[consumption_clinopsfinance].[dateranges_pm]	[consumption_clinopsfinance].[cadencebudgetdata_actualcostofworkperformed],[consumption_clinopsfinance].[cadencebudgetdata_billableefficiency],[consumption_clinopsfinance].[cadencebudgetdata_billableefficiency_rankdetail],[consumption_clinopsfinance].[cadencebudgetdata_billableefficiency_task],[consumption_clinopsfinance].[cadencebudgetdata_earnedvalue]	[dbo].[logmessage],[dbo].[splastrowcount]	6
customer	CONSUMPTION_CLINOPSFINANCE.spLoadCadenceBudget_LaborCost_PrimaContractUtilization_Junc	[consumption_clinopsfinance].[cadencebudgetdata],[consumption_clinopsfinance].[daterangemonthclose_config],[consumption_clinopsfinance].[employeecontractutilization],[consumption_powerbi].[factlaborcostforearnedvalue],[dbo].[dimdate],[dbo].[udfdatetodatekey]	[consumption_clinopsfinance].[cadencebudget_laborcost_primacontractutilization_junc]	[dbo].[logmessage]	9
customer	CONSUMPTION_CLINOPSFINANCE.spLoadCadenceBudget_LaborCost_PrimaUtilization_Junc	[consumption_powerbi].[cadencebudgetdata],[consumption_powerbi].[employeeutilization],[consumption_powerbi].[factlaborcostforearnedvalue],[dbo].[dimdate],[dbo].[udfdatetodatekey]	[consumption_clinopsfinance].[cadencebudget_laborcost_primautilization_junc]	[dbo].[logmessage]	5
customer	CONSUMPTION_CLINOPSFINANCE.spLoadCadenceBudgetData	[consumption_clinopsfinance].[cadencebudgetdata],[consumption_prima].[globalcountries],[consumption_prima].[monthlyaveragecurrencyexchangerate],[dbo].[full_departmental_map],[staging_cadence].[cadenceextract],[staging_cadence].[cadenceoutofscoperecords],[staging_cadence].[departmenmapping],[staging_cadence].[monthlytasktaskcountry],[staging_cadence].[monthlytasktaskcountryglobalnocountry],[staging_cadence].[reconciliationev]	[consumption_clinopsfinance].[cadencebudgetdata],[staging_cadence].[departmenmapping]	[dbo].[logmessage],[dbo].[splastrowcount]	11
customer	CONSUMPTION_CLINOPSFINANCE.spLoadCadenceBudgetData_Post	[consumption_clinopsfinance].[cadencebudget_laborcost_primacontractutilization_junc],[consumption_clinopsfinance].[cadencebudgetdata],[dbo].[udfdatetodatekey]	[consumption_clinopsfinance].[cadencebudgetdata_post]	[dbo].[logmessage]	6
customer	CONSUMPTION_CLINOPSFINANCE.spLoadCadence-ETL	-	-	[consumption_clinopsfinance].[sploadcadencebudgetdata],[dbo].[logmessage],[staging_cadence].[sploadcadencecase0data],[staging_cadence].[sploadcadenceextractfunctionlocation],[staging_cadence].[sploadcadenceextracttaskcountry],[staging_cadence].[sploadcadenceoutofscoperecords],[staging_cadence].[sploadcountryreallocatets],[staging_cadence].[sploadfinalcountryreallocatets_case1],[staging_cadence].[sploadfinalcountryreallocatets_case2],[staging_cadence].[sploadfinalcountryreallocatets_case3],[staging_cadence].[sploadfinalcountryreallocatets_case4],[staging_cadence].[sploadfinalcountryreallocatets_nocountry],[staging_cadence].[sploadmonthlytasktaskcountry],[staging_cadence].[sploadmonthlytasktaskcountryglobalnocountry],[staging_cadence].[sploadnocountryreallocatets],[staging_cadence].[sploadreconciliation_case4.5],[staging_cadence].[sploadreconciliation_case5-6],[staging_cadence].[sploadtaskandfunctiondata]	18
customer	CONSUMPTION_CLINOPSFINANCE.spLoadDateRange	[consumption_clinopsfinance].[daterangemonthclose_config]	-	[consumption_clinopsfinance].[sploaddaterangedetails],[consumption_clinopsfinance].[sploaddaterangemonthclose_config],[dbo].[logmessage]	5
customer	CONSUMPTION_CLINOPSFINANCE.spLoadDateRangeDetails	[consumption_clinopsfinance].[dateranges],[consumption_clinopsfinance].[ranges],[consumption_clinopsfinance].[rangetype],[dbo].[udfdatetobomdate],[dbo].[udfdatetobomdatekey],[dbo].[udfdatetodatekey]	[consumption_clinopsfinance].[dateranges],[consumption_clinopsfinance].[ranges]	[dbo].[logmessage]	10
customer	CONSUMPTION_CLINOPSFINANCE.spLoadDateRangeMonthClose_Config	[consumption_clinopsfinance].[daterangemonthclose_config]	[consumption_clinopsfinance].[daterangemonthclose_config]	[dbo].[logmessage]	4
customer	CONSUMPTION_CLINOPSFINANCE.spLoadEmployeeContractUtilization	[consumption_clinopsfinance].[hrcontractattendance],[consumption_prima].[tsdurationforallemployees]	[consumption_clinopsfinance].[employeecontractutilization]	[dbo].[logmessage]	4
customer	CONSUMPTION_CLINOPSFINANCE.spLoadEmployeeContractUtilization_Aggregations	[consumption_clinopsfinance].[averagecontractfte_monthly],[consumption_clinopsfinance].[averagecontractfte_monthly_rankdetail],[consumption_clinopsfinance].[billability],[consumption_clinopsfinance].[billableefficiency_productivity_rankdetailaggregation],[consumption_clinopsfinance].[currency],[consumption_clinopsfinance].[dateranges_pm],[consumption_clinopsfinance].[employee_day_hours],[consumption_clinopsfinance].[employee_utilization_hours],[consumption_clinopsfinance].[employeeattendanceexpectedhoursutilization_monthly],[consumption_clinopsfinance].[employeeaveragefte_monthly_utilization_hours],[consumption_clinopsfinance].[employeecontractfte_monthly],[consumption_clinopsfinance].[employeecontractutilization_post],[consumption_clinopsfinance].[employeetimesheethours_utilization],[consumption_clinopsfinance].[hrcontractattendance],[consumption_clinopsfinance].[vfull_departmental_map_activeprima],[dbo].[udfdatekeytodate],[dbo].[udfdatetobomdatekey],[dbo].[udfdatetoeomdate]	[consumption_clinopsfinance].[averagecontractfte_monthly],[consumption_clinopsfinance].[averagecontractfte_monthly_rankdetail],[consumption_clinopsfinance].[billableefficiency_productivity_averagefte_monthly_rankdetailaggregation],[consumption_clinopsfinance].[employee_day_hours],[consumption_clinopsfinance].[employee_utilization_hours],[consumption_clinopsfinance].[employeeattendanceexpectedhoursutilization_monthly],[consumption_clinopsfinance].[employeeaveragefte_monthly_utilization_hours],[consumption_clinopsfinance].[employeeaveragefte_monthly_utilization_hours_rankdetail],[consumption_clinopsfinance].[employeecontractfte_monthly],[consumption_clinopsfinance].[employeetimesheethours_utilization]	[dbo].[logmessage],[dbo].[splastrowcount]	12
customer	CONSUMPTION_CLINOPSFINANCE.spLoadEmployeeContractUtilization_Post	[consumption_clinopsfinance].[cadencebudget_laborcost_primacontractutilization_junc],[consumption_clinopsfinance].[employeecontractutilization],[consumption_clinopsfinance].[vfull_departmental_map_activeprima],[dbo].[dimdate],[dbo].[udfdatetobomdate],[dbo].[udfdatetodatekey]	[consumption_clinopsfinance].[employeecontractutilization_post]	[dbo].[logmessage]	9
customer	CONSUMPTION_CLINOPSFINANCE.spLoadFactLaborCostForEarnedValue_Aggregations	[consumption_clinopsfinance].[billableefficiency_productivity_rankdetailaggregation],[consumption_clinopsfinance].[cadencebudget_laborcost_primacontractutilization_junc],[consumption_clinopsfinance].[cadencebudgetdata_billableefficiency],[consumption_clinopsfinance].[cadencebudgetdata_billableefficiency_rankdetail],[consumption_clinopsfinance].[dateranges_pm],[consumption_clinopsfinance].[factlaborcostforearnedvalue_post],[consumption_clinopsfinance].[factlaborcostforearnedvalue_rankaggregation],[consumption_clinopsfinance].[factlaborcostforearnedvalue_rankdetaillaggregation]	[consumption_clinopsfinance].[billableefficiency_productivity_aggregation],[consumption_clinopsfinance].[billableefficiency_productivity_rankdetailaggregation],[consumption_clinopsfinance].[billableefficiency_productivity_rankglobalaggregation],[consumption_clinopsfinance].[factlaborcostforearnedvalue_rankaggregation],[consumption_clinopsfinance].[factlaborcostforearnedvalue_rankdetaillaggregation]	[dbo].[logmessage],[dbo].[splastrowcount]	6
customer	CONSUMPTION_CLINOPSFINANCE.spLoadFactLaborCostForEarnedValue_Post	[consumption_clinopsfinance].[cadencebudget_laborcost_primacontractutilization_junc],[consumption_clinopsfinance].[daterangemonthclose_config],[consumption_powerbi].[factlaborcostforearnedvalue],[dbo].[dimdate],[dbo].[udfdatetodatekey]	[consumption_clinopsfinance].[factlaborcostforearnedvalue_post]	[dbo].[logmessage]	8
customer	CONSUMPTION_CLINOPSFINANCE.spLoadHrContractAttendance	[consumption_prima].[globalcountries],[consumption_prima].[globalholidays],[consumption_prima].[hremployees],[consumption_prima].[hrleavetracker],[consumption_prima].[hrmaternity],[consumption_prima].[siteevents],[consumption_prima].[sites],[consumption_primareporting].[hremployeecontracthistory],[consumption_primareporting].[projects],[dbo].[dimdate],[dbo].[udfdatetobomdate],[dbo].[udfdatetodatekey]	[consumption_clinopsfinance].[hrcontractattendance]	[dbo].[logmessage]	8
customer	CONSUMPTION_CLINOPSFINANCE.spLoadProductivityMetrics_Aggregations	-	-	[consumption_clinopsfinance].[sploadcadencebudget_aggregations],[consumption_clinopsfinance].[sploademployeecontractutilization_aggregations],[consumption_clinopsfinance].[sploadfactlaborcostforearnedvalue_aggregations],[dbo].[logmessage]	5
customer	CONSUMPTION_CLINOPSFINANCE.spLoadProductivityMetrics_Post	-	-	[consumption_clinopsfinance].[sploadcadencebudget_laborcost_primacontractutilization_junc],[consumption_clinopsfinance].[sploadcadencebudgetdata_post],[consumption_clinopsfinance].[sploaddaterange],[consumption_clinopsfinance].[sploademployeecontractutilization],[consumption_clinopsfinance].[sploademployeecontractutilization_post],[consumption_clinopsfinance].[sploadfactlaborcostforearnedvalue_post],[consumption_clinopsfinance].[sploadhrcontractattendance],[dbo].[logmessage]	9
customer	CONSUMPTION_CLINOPSFINANCE.spRunLoadProductivityMetrics	-	-	[consumption_clinopsfinance].[sploadproductivitymetrics_aggregations],[consumption_clinopsfinance].[sploadproductivitymetrics_post],[dbo].[logmessage]	3
